lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-6.8360034,0.95099173,0.91524172,2,3,0,7.2307813,0.30470445
-6.8614604,0.95340939,0.91524172,2,7,0,7.1102949,0.19383156
-6.7699362,0.9989146,0.91524172,1,3,0,6.8440689,0.22445916
-7.5542916,0.82990491,0.91524172,1,3,0,7.8458598,0.42579275
-6.8690075,0.83594033,0.91524172,2,3,0,8.5622163,0.31456483
-6.8566329,0.95305719,0.91524172,1,3,0,7.1528996,0.19496465
-6.8027787,0.98151725,0.91524172,1,3,0,7.0198633,0.29280253
-10.400213,0.51444739,0.91524172,2,7,0,10.461275,0.034708824
-10.273557,1,0.91524172,2,3,0,10.685912,0.036396082
-11.744353,0.94637141,0.91524172,1,1,0,11.745173,0.021273906
-10.231841,1,0.91524172,1,1,0,11.687055,0.036971958
-9.0332111,1,0.91524172,1,1,0,10.161655,0.059115238
-8.1996245,1,0.91524172,1,1,0,8.9710032,0.084810518
-6.7884815,0.9909627,0.91524172,1,3,0,8.4232273,0.21561456
-6.7505621,0.95497696,0.91524172,2,3,0,7.1111264,0.24116143
-6.8201982,0.98873032,0.91524172,2,3,0,6.84035,0.2046264
-6.8201982,0.95165668,0.91524172,1,3,0,7.1032548,0.2046264
-6.9772552,0.9448792,0.91524172,1,3,0,7.2358278,0.34024639
-7.1723372,0.94505376,0.91524172,1,1,0,7.2046186,0.37497136
-7.121394,1,0.91524172,1,1,0,7.2509987,0.36677643
-6.7889441,1,0.91524172,1,3,0,7.0375335,0.28684308
-7.5204609,0.85593352,0.91524172,1,3,0,7.5510539,0.42183192
-7.5204609,0.52229541,0.91524172,1,1,0,8.981622,0.42183192
-6.7480235,0.97422076,0.91524172,2,3,0,7.7053265,0.2502343
-7.6780368,0.81009344,0.91524172,1,3,0,7.8445779,0.43964617
-6.9428893,1,0.91524172,1,1,0,7.4629924,0.33285804
-7.5957844,0.82585216,0.91524172,1,1,0,7.5978019,0.43054438
-7.5957844,0.39342148,0.91524172,1,1,0,9.667416,0.43054438
-6.7795418,1,0.91524172,1,3,0,7.4205956,0.28222381
-6.8809857,0.84718352,0.91524172,2,3,0,7.7670024,0.18951026
-6.9677834,0.98372433,0.91524172,1,1,0,6.9767824,0.1738051
-6.9627773,1,0.91524172,1,1,0,7.0084697,0.17459683
-6.7914119,0.99729486,0.91524172,1,3,0,6.9325114,0.21443603
-7.1001903,0.95347463,0.91524172,2,3,0,7.2080141,0.15599213
-8.2148852,0.86518458,0.91524172,1,3,0,8.3068192,0.084215947
-8.0256824,1,0.91524172,1,1,0,8.3186536,0.092035955
-6.7921209,1,0.91524172,2,3,0,7.8798235,0.2141574
-6.8483428,0.99612222,0.91524172,2,3,0,6.8493359,0.19697935
-6.8915474,0.98268584,0.91524172,2,3,0,7.0437449,0.18732484
-7.7540546,0.87979042,0.91524172,1,3,0,7.8649913,0.10530935
-6.8660381,0.98088485,0.91524172,1,3,0,7.7272444,0.19278229
-7.9519309,0.77875046,0.91524172,1,3,0,8.6210747,0.46743434
-7.4579484,1,0.91524172,1,1,0,7.9308136,0.41429083
-9.2251185,0.8134435,0.91524172,2,3,0,9.2667427,0.56633912
-8.8185663,1,0.91524172,1,1,0,9.6600007,0.53865816
-7.2397911,1,0.91524172,1,1,0,8.3430227,0.38515458
-7.9306676,0.80875636,0.91524172,1,1,0,7.9859855,0.46539665
-6.7544724,1,0.91524172,1,3,0,7.7602161,0.26437386
-6.7617813,0.99565828,0.91524172,1,3,0,6.7835177,0.22965592
-6.7710766,0.99793727,0.91524172,1,1,0,6.772365,0.22382009
-6.7486193,0.9998379,0.91524172,1,3,0,6.7695037,0.24569521
-6.9259436,0.9738734,0.91524172,2,3,0,6.9504448,0.18079842
-6.8492167,1,0.91524172,1,1,0,6.9169436,0.19676261
-7.0474508,0.93172842,0.91524172,1,3,0,7.3953978,0.35390352
-6.9005053,1,0.91524172,1,1,0,7.0242744,0.32286018
-6.7556951,0.99003471,0.91524172,2,3,0,6.9667707,0.2656941
-7.3612975,0.90924907,0.91524172,2,3,0,7.3739305,0.13100683
-7.0170671,1,0.91524172,1,1,0,7.30514,0.16654253
-6.9665134,1,0.91524172,1,1,0,7.0377558,0.17400489
-8.6118892,0.78291096,0.91524172,1,3,0,8.9920337,0.070576559
-8.6652764,0.99562426,0.91524172,1,1,0,8.8879856,0.068974391
-7.4127686,0.99197925,0.91524172,2,3,0,8.9227554,0.12702355
-7.0232944,1,0.91524172,2,3,0,7.3492752,0.16568562
-7.4100186,0.93888633,0.91524172,1,1,0,7.4100214,0.12723051
-8.1038551,0.91568635,0.91524172,1,1,0,8.103875,0.088682429
-6.7506398,0.96613337,0.91524172,1,3,0,8.4732933,0.24102838
-6.7480221,0.96195106,0.91524172,2,3,0,7.0148628,0.25010844
-8.1907044,0.65567885,0.91524172,1,3,0,9.065425,0.085160817
-6.8335198,0.8902642,0.91524172,1,3,0,9.1869243,0.30389755
-6.8079877,0.97417401,0.91524172,2,3,0,7.0153139,0.29485754
-6.9384904,0.9324809,0.91524172,2,7,0,7.2039668,0.17860601
-6.853709,0.96821383,0.91524172,1,3,0,7.244592,0.31017413
-7.1602793,0.91764706,0.91524172,1,1,0,7.1614342,0.37307446
-7.2855012,0.96329439,0.91524172,1,1,0,7.378267,0.39169162
-8.2060351,0.91276508,0.91524172,2,3,0,8.2565474,0.49051006
-8.0750441,1,0.91524172,2,7,0,8.103563,0.089897234
-7.9440887,1,0.91524172,1,1,0,8.1947141,0.095740641
-6.9114169,0.97513021,0.91524172,1,3,0,7.9164386,0.18345501
-8.6635159,0.74051813,0.91524172,1,3,0,9.1653331,0.069026461
-9.2418999,0.95796892,0.91524172,1,1,0,9.3100109,0.054305734
-7.0365136,0.95227617,0.91524172,1,3,0,9.5141918,0.16390614
-7.054604,0.99688564,0.91524172,1,1,0,7.1051841,0.16155264
-6.8614372,1,0.91524172,1,1,0,7.0181442,0.19383695
-6.8291507,0.97013972,0.91524172,2,3,0,7.1434974,0.302451
-6.750964,0.99634643,0.91524172,2,3,0,6.8538413,0.25966948
-6.750964,0.76748548,0.91524172,1,3,0,7.7928091,0.25966948
-7.4419517,0.8971888,0.91524172,2,3,0,7.4612243,0.12486563
-6.8300563,0.99708492,0.91524172,2,3,0,7.4724859,0.20178412
-6.7516883,0.99601577,0.91524172,1,3,0,6.8627204,0.26080459
-6.7516883,0.65811584,0.91524172,1,3,0,8.3954375,0.26080459
-8.0698359,0.80342089,0.91524172,2,3,0,8.0824885,0.090119426
-7.6885429,1,0.91524172,1,1,0,8.0706358,0.10896425
-7.2344577,1,0.91524172,1,1,0,7.6273992,0.14197063
-6.9134682,0.88458284,0.91524172,2,3,0,8.6613369,0.32604046
-6.8177967,0.965542,0.91524172,1,3,0,7.131026,0.20535098
-7.7092007,0.80854741,0.91524172,1,3,0,8.1883115,0.44299295
-7.3692754,1,0.91524172,1,1,0,7.729303,0.40303613
-6.9446997,1,0.91524172,1,1,0,7.254667,0.3332615
-6.8352878,1,0.91524172,1,1,0,6.9220088,0.30447305
-6.8378489,0.99931341,0.91524172,1,1,0,6.859792,0.30529718
-7.360722,0.80080311,0.91524172,1,3,0,8.0607527,0.13105273
-7.5692462,0.97167101,0.91524172,1,1,0,7.6172748,0.1161873
-10.200955,0.76331867,0.91524172,1,3,0,10.75033,0.037405004
-10.136468,1,0.91524172,1,1,0,10.509571,0.038327887
-6.7760344,0.8012713,0.91524172,1,3,0,11.693632,0.22121927
-6.8122027,0.9922852,0.91524172,1,1,0,6.8129216,0.20709406
-6.7500341,0.89621794,0.91524172,2,3,0,7.7128656,0.25798542
-6.7500341,0.89136599,0.91524172,1,3,0,7.2062843,0.25798542
-6.7535317,0.97096717,0.91524172,2,3,0,6.9371804,0.23703362
-7.569885,0.82719099,0.91524172,1,3,0,7.7869252,0.4275918
-8.6000701,0.72353029,0.91524172,1,1,0,8.712441,0.52249688
-7.1536532,1,0.91524172,2,3,0,8.1622554,0.37202121
-7.0273054,0.85704984,0.91524172,1,3,0,7.9498036,0.1651401
-7.72759,0.84111025,0.91524172,1,3,0,8.7006226,0.44494327
-6.7669363,0.98600764,0.91524172,1,3,0,7.8332867,0.22622908
-6.7532981,0.95970749,0.91524172,2,3,0,7.0453744,0.23730807
-6.8905551,0.97152814,0.91524172,1,3,0,6.9139777,0.1875261
-6.967518,0.98563228,0.91524172,1,1,0,6.9794396,0.17384679
-7.9906575,0.87082199,0.91524172,1,3,0,8.1090611,0.093599473
-7.4511413,1,0.91524172,1,1,0,7.930008,0.1242002
-7.174388,1,0.91524172,1,1,0,7.4255666,0.14787236
-7.265754,0.98586946,0.91524172,1,1,0,7.3176441,0.13909324
-7.3065447,0.99390294,0.91524172,1,1,0,7.3864055,0.13552063
-7.326011,0.9962893,0.91524172,2,7,0,7.3330967,0.39727273
-7.5706628,0.97593395,0.91524172,2,3,0,7.6952121,0.42768111
-7.5381291,1,0.91524172,1,1,0,7.7841288,0.42391051
-7.0393261,0.88584258,0.91524172,2,3,0,8.4909577,0.16353421
-7.657193,0.94852325,0.91524172,2,7,0,7.6604292,0.43737747
-6.7527782,0.99461284,0.91524172,1,3,0,7.6742527,0.23794237
-6.7484446,0.963659,0.91524172,2,3,0,7.0074445,0.25364691
-6.7482135,1,0.91524172,1,1,0,6.7483994,0.25245329
-8.5428744,0.67398468,0.91524172,1,3,0,8.8154344,0.51809577
-6.751802,1,0.91524172,1,3,0,8.2953653,0.26097248
-7.3777583,0.86910192,0.91524172,1,3,0,7.4595005,0.40414399
-6.8364082,1,0.91524172,2,3,0,7.2709622,0.20005269
-7.3346251,0.92579131,0.91524172,1,3,0,7.3781424,0.13316776
-6.9166869,0.8661308,0.91524172,2,3,0,9.1972567,0.32681213
-6.9986949,0.91231278,0.91524172,1,3,0,7.5220315,0.16914526
-6.8327347,0.89572091,0.91524172,2,3,0,7.982741,0.20104521
-6.7480219,0.85964315,0.91524172,2,3,0,8.1278559,0.25006792
-6.8451892,0.97582887,0.91524172,1,3,0,6.879391,0.19777045
-7.5415209,0.91289584,0.91524172,2,3,0,7.7059762,0.11798424
-7.6247807,0.9892987,0.91524172,1,1,0,7.728557,0.11272708
-9.1651869,0.89563491,0.91524172,2,7,0,9.1948298,0.56243353
-7.1513846,1,0.91524172,1,1,0,8.5444236,0.37165878
-6.8688019,1,0.91524172,2,7,0,7.0859823,0.19216003
-6.7485128,0.99748029,0.91524172,1,3,0,6.8923459,0.25393079
-6.7739744,0.90404282,0.91524172,2,3,0,7.4033006,0.22226772
-6.7506494,0.96058449,0.91524172,2,3,0,7.0489606,0.24101213
-7.524892,0.83575704,0.91524172,1,3,0,7.712518,0.42235531
-6.8017834,1,0.91524172,2,3,0,7.4426489,0.21057879
-7.0704545,0.92360953,0.91524172,1,3,0,7.3258451,0.35805051
-7.9317936,0.77091819,0.91524172,1,1,0,7.9435887,0.46550501
-6.9561008,1,0.91524172,1,1,0,7.6427417,0.33576413
-7.043914,0.9752464,0.91524172,1,1,0,7.0839815,0.35325315
-6.832099,1,0.91524172,1,1,0,6.9869808,0.30343101
-6.7949249,1,0.91524172,1,1,0,6.8278731,0.2895208
-7.7543017,0.70689981,0.91524172,2,3,0,8.7658007,0.4477449
-6.9539908,0.87894522,0.91524172,1,3,0,8.5123642,0.17601401
-7.1451466,0.9148017,0.91524172,1,3,0,7.7407694,0.37065737
-6.7870746,0.95013369,0.91524172,2,3,0,7.4795944,0.2859685
-7.3767445,0.79472605,0.91524172,2,3,0,8.0023228,0.12978644
-6.8381187,0.99549989,0.91524172,2,3,0,7.4307655,0.19959846
-6.9202764,0.99465888,0.91524172,2,3,0,6.9241661,0.18181893
-7.1103546,0.96151238,0.91524172,2,3,0,7.3496795,0.15481687
-7.9622593,0.90449758,0.91524172,2,3,0,8.3020431,0.094896492
-6.7827852,0.92241974,0.91524172,1,3,0,8.6179616,0.28388325
-6.8526399,0.99394846,0.91524172,2,3,0,6.8535035,0.3098566
-6.9916224,0.90426283,0.91524172,2,7,0,7.3925542,0.17017875
-6.8106246,0.99270607,0.91524172,2,3,0,7.0762217,0.20760079
-7.2412064,0.93108513,0.91524172,1,3,0,7.2838965,0.1413395
-6.7604837,0.99668499,0.91524172,2,3,0,7.2589287,0.23062049
-6.7494801,0.99951278,0.91524172,2,3,0,6.7644403,0.24329007
-8.0641371,0.77174442,0.91524172,2,3,0,8.6831283,0.47790096
-7.8176064,1,0.91524172,1,1,0,8.2615601,0.45424344
-6.8663421,1,0.91524172,2,3,0,7.6715417,0.19271343
-6.7741567,0.99889067,0.91524172,1,3,0,6.848157,0.22217321
-6.8092345,0.99249202,0.91524172,1,1,0,6.8098347,0.20805301
-10.025586,0.61898908,0.91524172,2,3,0,10.035015,0.03997622
-10.964052,0.96070448,0.91524172,1,1,0,11.011329,0.028186574
-10.022203,0.98919547,0.91524172,2,3,0,12.017699,0.040027784
-9.3267696,1,0.91524172,1,1,0,10.05525,0.052487656
-9.6666985,0.96476688,0.91524172,2,3,0,10.866919,0.045900949
-8.6701781,1,0.91524172,1,1,0,9.6048731,0.068829689
-6.8567323,0.97920641,0.91524172,2,7,0,8.2710301,0.3110641
-6.7784966,1,0.91524172,1,1,0,6.8364924,0.28167182
-7.1317734,0.88169292,0.91524172,1,3,0,7.4681203,0.15240933
-7.499386,0.79712477,0.91524172,2,3,0,9.2808433,0.12081075
-6.7846196,1,0.91524172,2,3,0,7.3376314,0.28478918
-8.7504505,0.70010495,0.91524172,2,7,0,8.7513399,0.066515179
-9.2254481,0.96605943,0.91524172,1,1,0,9.3221087,0.054666985
-9.3079072,0.97253339,0.91524172,2,7,0,9.433756,0.57164303
-8.8063014,1,0.91524172,1,1,0,9.6941882,0.53777679
-7.7123288,1,0.91524172,1,1,0,8.6061306,0.44332597
-6.988781,1,0.91524172,2,3,0,7.5469312,0.17059918
-6.7760588,0.99687363,0.91524172,1,3,0,6.9615849,0.22120714
-6.9884574,0.96335728,0.91524172,1,3,0,7.0059802,0.17064726
-6.7657317,1,0.91524172,2,3,0,6.9379509,0.27400196
-6.7601191,0.99638444,0.91524172,2,3,0,6.7962619,0.26977079
-7.2482093,0.80900748,0.91524172,2,3,0,7.9151502,0.14069089
-6.8978406,0.93553096,0.91524172,1,3,0,7.822411,0.32219117
-7.0898439,0.85994761,0.91524172,1,3,0,7.6716677,0.15721138
-9.0071971,0.7894542,0.91524172,2,3,0,9.4273782,0.059751143
-8.7185447,1,0.91524172,1,1,0,9.1326514,0.067422844
-6.8394516,1,0.91524172,2,3,0,8.4786691,0.19924783
-6.7523582,0.99920167,0.91524172,1,3,0,6.8319567,0.23848112
-6.7523582,0.54785347,0.91524172,1,3,0,9.6965585,0.23848112
-6.7557012,0.90696024,0.91524172,2,3,0,7.4452102,0.23472605
-6.9016353,0.98284852,0.91524172,2,3,0,6.9148596,0.32314225
-6.7568638,1,0.91524172,1,3,0,6.873671,0.26686298
-6.7665115,0.96142615,0.91524172,2,3,0,7.0032087,0.22649128
-6.778016,0.99183712,0.91524172,1,3,0,6.8309295,0.28141502
-6.7776476,1,0.91524172,2,7,0,6.7776949,0.22042653
-7.9716203,0.76474292,0.91524172,1,3,0,8.4033485,0.094465983
-7.3430197,1,0.91524172,2,3,0,7.8887306,0.13248012
-7.0003083,1,0.91524172,1,1,0,7.2861625,0.16891203
-7.9115455,0.88414241,0.91524172,1,3,0,7.9844285,0.097281232
-6.7592589,0.9410776,0.91524172,1,3,0,8.4102122,0.26904381
