name,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"lp__",-7.28742,0.0190724,0.769945,0.34045,-8.76181,-6.9971,-6.7499,1944.5,2306.44,162042,1.001
"accept_stat__",0.899927,0.00252434,0.154551,0.051564,0.553803,0.965221,1,4909.22,3645.12,409102,1.00411
"stepsize__",1.10179,nan,0.038054,0.0283546,1.06004,1.09195,1.16322,nan,nan,nan,nan
"treedepth__",1.39,0.00809925,0.487811,0,1,1,2,3672.58,3672.58,306048,1.00299
"n_leapfrog__",2.3085,0.017359,0.970084,0,1,3,3,3124.07,3100.93,260339,1.00256
"divergent__",0,nan,0,0,0,0,0,nan,nan,nan,nan
"energy__",7.80014,0.0268882,1.06583,0.737234,6.80726,7.46732,9.92384,1752.19,2260.66,146016,1.00055
"theta",0.249086,0.00330207,0.121653,0.119069,0.0815749,0.230649,0.477524,1300.53,1696.54,108377,1.00169
# Inference for Stan model: bernoulli_model
# 4 chains: each with iter=1000; warmup=1000; thin=1; 1000 iterations saved.
# 
# Warmup took (0.0010, 0.0010, 0.0010, 0.0010) seconds, 0.0040 seconds total
# Sampling took (0.0030, 0.0030, 0.0030, 0.0030) seconds, 0.012 seconds total
# Samples were drawn using hmc with nuts.
# For each parameter, ESS_bulk and ESS_tail measure the effective sample size for the entire sample (bulk) and for the .05 and .95 tails (tail), 
# and R_hat measures the potential scale reduction on split chains. At convergence R_hat will be very close to 1.00.
